Date,Open,High,Low,Close
04/03 10:45,22425.4,22425.4,22411,22412.25
04/03 10:40,22431.4,22432.9,22422.8,22424.45
04/03 10:35,22430.65,22431.95,22420.95,22431.95
04/03 10:30,22414.3,22431.25,22414.3,22429.25
04/03 10:25,22412.65,22420.25,22411.45,22414.55
04/03 10:20,22400.75,22415.55,22395.4,22413.35
04/03 10:15,22395,22408.7,22395,22402
04/03 10:10,22400.85,22405.7,22393.15,22395.4
04/03 10:05,22395.8,22408,22391.7,22401.5
04/03 10:00,22372.2,22400.2,22367.15,22397.5
04/03 9:55,22374.75,22379.2,22365.4,22373.8
04/03 9:50,22360.15,22377.75,22358.3,22374.15
04/03 9:45,22396.05,22397.55,22358.35,22360.05
04/03 9:40,22373,22396.45,22361.8,22395.9
04/03 9:35,22391.75,22399.4,22363.35,22374.35
04/03 9:30,22380.55,22398.15,22372.35,22392.3
04/03 9:25,22415.6,22415.6,22378.85,22381.05
04/03 9:20,22424.95,22424.95,22383.35,22413.8
04/03 9:15,22403.5,22440.9,22392.25,22424.6
02/03 12:25,22378.6,22381,22372.2,22373.4
02/03 12:20,22379.15,22382.65,22376.55,22378.55
02/03 12:15,22375.85,22381.65,22374.2,22378.95
02/03 12:10,22379.3,22382.65,22373.45,22375.55
02/03 12:05,22381.45,22384.35,22379,22379.45
02/03 12:00,22377.45,22385.4,22375.45,22382.15
02/03 11:55,22385.55,22387.05,22373.2,22377
02/03 11:50,22389.85,22394,22383.4,22383.95
02/03 11:45,22393.55,22400.85,22386,22390.15
02/03 11:40,22393.2,22400.9,22390.35,22393.2
02/03 11:35,22396.4,22403.55,22387.35,22392.8
02/03 11:30,22406.7,22410.35,22389.95,22395.8
02/03 9:55,22400.2,22402,22391.05,22394.4
02/03 9:50,22399.25,22401.95,22388.5,22401.95
02/03 9:45,22402.15,22412.45,22398.95,22400.05
02/03 9:40,22396.85,22403.6,22391.6,22401.65
02/03 9:35,22396.8,22408.35,22395.15,22397.2
02/03 9:30,22386.4,22399.3,22385.5,22397.35
02/03 9:25,22375.9,22387.55,22371.65,22385.3
02/03 9:20,22381.7,22381.7,22366.95,22375.55
02/03 9:15,22406.95,22420.25,22381.3,22381.3
01/03 15:25,22331.25,22334.2,22319.65,22326.05
01/03 15:20,22334.4,22339.6,22328.35,22331.75
01/03 15:15,22330,22343.3,22325.65,22335.05
01/03 15:10,22348.8,22353.3,22329.1,22329.1
01/03 15:05,22346.05,22353.05,22339.3,22348.6
01/03 15:00,22340.05,22350.1,22330.75,22346.6
01/03 14:55,22330.05,22343.05,22326.65,22340.8
01/03 14:50,22333.8,22348.4,22327.65,22329.85
01/03 14:45,22332.1,22345.7,22330.45,22333.1
01/03 14:40,22319.2,22334.85,22315.65,22331.85
01/03 14:35,22325.95,22329.75,22317.6,22320.35
01/03 14:30,22333.55,22338.35,22320.85,22325.25
01/03 14:25,22326.1,22339.4,22323.15,22331.1
01/03 14:20,22321.05,22332.25,22320.8,22326.1
01/03 14:15,22329.85,22333.3,22320.3,22321.6
01/03 14:10,22327.55,22335.95,22325.8,22329.65
01/03 14:05,22316.45,22327.7,22316.1,22327.55
01/03 14:00,22319.7,22330.85,22311.25,22316.4
01/03 13:55,22321.6,22325.5,22317.2,22319.6
01/03 13:50,22324.7,22325.95,22313.5,22322.05
01/03 13:45,22315.05,22324.65,22310.6,22322.8
01/03 13:40,22308.4,22315,22302.45,22314.65
01/03 13:35,22313.3,22318.85,22307.55,22308.5
01/03 13:30,22313.85,22319.3,22304.85,22313.45
01/03 13:25,22309.35,22316.4,22300.3,22314.25
01/03 13:20,22290.05,22310.4,22290.05,22309.25
01/03 13:15,22288.6,22294.6,22282.8,22290.5
01/03 13:10,22306.1,22308.3,22281.4,22288.35
01/03 13:05,22315.25,22318.65,22300.4,22306.25
01/03 13:00,22300.1,22317.15,22299.85,22315.95
01/03 12:55,22301.8,22304.65,22295.6,22299.4
01/03 12:50,22291.85,22305,22291.85,22302.55
01/03 12:45,22305.65,22308,22286.5,22292.65
01/03 12:40,22302.4,22312.65,22298.3,22305.8
01/03 12:35,22294.7,22305.5,22287.1,22302.1
01/03 12:30,22291.7,22300.65,22289.5,22294.35
01/03 12:25,22287.55,22299.75,22283.9,22291.25
01/03 12:20,22280.25,22294.9,22278,22286.55
01/03 12:15,22287,22289.95,22277.3,22282.15
01/03 12:10,22285,22288.7,22280.4,22286.45
01/03 12:05,22278.9,22289,22268.2,22284.15
01/03 12:00,22284.4,22295,22273.45,22277.7
01/03 11:55,22298.1,22304,22280.35,22283.95
01/03 11:50,22289,22300.1,22285.9,22297.9
01/03 11:45,22279.35,22292.5,22279.35,22288.95
01/03 11:40,22286.4,22291.15,22272.45,22279.15
01/03 11:35,22235.05,22295.5,22235.05,22286.7
01/03 11:30,22238.65,22241.6,22230.75,22237.2
01/03 11:25,22232.3,22240.45,22228.25,22238.8
01/03 11:20,22219.1,22234.15,22219.1,22232.9
01/03 11:15,22208.6,22220.4,22208.6,22220.2
01/03 11:10,22191.3,22222.35,22191.1,22208.7
01/03 11:05,22187.6,22191.6,22184.25,22191.2
01/03 11:00,22172.75,22188.25,22172.75,22187.25
01/03 10:55,22196,22201.95,22172.45,22172.45
01/03 10:50,22188.25,22198,22187.15,22196.7
01/03 10:45,22178.3,22188.45,22175.7,22187.9
